Year,State,Overall Homeless,Sheltered Total Homeless,Unsheltered Homeless,Overall Homeless Individuals,Sheltered Total Homeless Individuals,Unsheltered Homeless Individuals,Overall Homeless People in Families,Sheltered Total Homeless People in Families,Unsheltered Homeless People in Families,Overall Homeless Family Households,Sheltered Total Homeless Family Households,Unsheltered Homeless Family Households,Overall Chronically Homeless,Sheltered Total Chronically Homeless,Unsheltered Chronically Homeless,Overall Chronically Homeless Individuals,Sheltered Total Chronically Homeless Individuals,Unsheltered Chronically Homeless Individuals,Overall Chronically Homeless People in Families,Sheltered Total Chronically Homeless People in Families,Unsheltered Chronically Homeless People in Families,Overall Homeless Veterans,Sheltered Total Homeless Veterans,Unsheltered Homeless Veterans
2017,FL,32190.0,17111,15079,22768,10931,11837,9422,6180,3242,2846,1924,922,5615,1241,4374,4951,1127,3824,664,114,550,2817,1821,996
2017,GA,10174.0,6651,3523,7422,4102,3320,2752,2549,203,1019,939,80,1028,462,566,963,405,558,65,57,8,712,466,246
2017,GU,852.0,87,765,215,17,198,637,70,567,117,17,100,64,0,64,20,0,20,44,0,44,24,4,20
2017,HI,7220.0,3420,3800,4535,1258,3277,2685,2162,523,666,539,127,1800,207,1593,1588,164,1424,212,43,169,615,237,378
2017,IA,2756.0,2652,104,1500,1396,104,1256,1256,0,382,382,0,199,143,56,170,114,56,29,29,0,171,153,18
2017,ID,2037.0,1398,639,1309,857,452,728,541,187,211,167,44,436,302,134,391,257,134,45,45,0,228,159,69
2017,IL,10798.0,8541,2257,6894,4759,2135,3904,3782,122,1228,1181,47,1475,717,758,1355,644,711,120,73,47,864,575,289
2017,IN,5438.0,4869,569,3623,3082,541,1815,1787,28,576,567,9,537,483,54,486,432,54,51,51,0,615,569,46
2017,KS,2287.0,1942,345,1423,1083,340,864,859,5,263,262,1,341,251,90,252,166,86,89,85,4,217,177,40
2017,KY,4025.0,3298,727,3032,2386,646,993,912,81,334,309,25,405,267,138,383,252,131,22,15,7,489,445,44
2017,LA,3305.0,2330,975,2559,1647,912,746,683,63,231,211,20,618,183,435,609,174,435,9,9,0,383,329,54
2017,MA,17565.0,16574,991,6267,5288,979,11298,11286,12,3430,3426,4,1914,1555,359,1238,885,353,676,670,6,853,808,45
2017,MD,7247.0,5511,1736,5077,3509,1568,2170,2002,168,681,635,46,1520,816,704,1436,746,690,84,70,14,536,440,96
2017,ME,2280.0,2100,180,1352,1244,108,928,856,72,307,286,21,201,201,0,189,189,0,12,12,0,131,120,11
2017,MI,9051.0,8028,1023,5628,4715,913,3423,3313,110,1060,1026,34,774,538,236,709,482,227,65,56,9,773,713,60
2017,MN,7668.0,6560,1108,3899,2892,1007,3769,3668,101,1140,1110,30,906,552,354,813,472,341,93,80,13,281,244,37
2017,MO,6037.0,4885,1152,3768,2770,998,2269,2115,154,749,705,44,1087,723,364,883,525,358,204,198,6,538,449,89
2017,MP,672.0,24,648,208,11,197,464,13,451,131,3,128,0,0,0,0,0,0,0,0,0,0,0,0
2017,MS,1472.0,753,719,1100,452,648,372,301,71,111,90,21,72,24,48,61,13,48,11,11,0,57,39,18
2017,MT,1529.0,985,544,987,633,354,542,352,190,169,117,52,198,75,123,182,73,109,16,2,14,205,125,80
2017,NC,8962.0,6511,2451,6044,4129,1915,2918,2382,536,911,748,163,1075,396,679,994,359,635,81,37,44,931,732,199
2017,ND,1089.0,758,331,832,650,182,257,108,149,77,36,41,45,25,20,37,25,12,8,0,8,74,58,16
2017,NE,2501.0,2381,120,1698,1578,120,803,803,0,266,266,0,375,299,76,361,285,76,14,14,0,174,172,2
2017,NH,1456.0,1282,174,776,638,138,680,644,36,238,221,17,137,62,75,100,38,62,37,24,13,124,113,11
2017,NJ,8536.0,7122,1414,5433,4038,1395,3103,3084,19,1018,1011,7,1069,652,417,955,542,413,114,110,4,583,494,89
2017,NM,2482.0,1686,796,1865,1147,718,617,539,78,191,164,27,814,463,351,712,385,327,102,78,24,248,135,113
2017,NV,7833.0,3255,4578,7281,2721,4560,552,534,18,186,179,7,512,123,389,502,121,381,10,2,8,832,492,340
2017,NY,89503.0,84948,4555,37390,32890,4500,52113,52058,55,16297,16281,16,6578,4598,1980,5087,3110,1977,1491,1488,3,1244,1186,58
2017,OH,10095.0,8786,1309,6688,5494,1194,3407,3292,115,1025,991,34,772,425,347,725,396,329,47,29,18,862,785,77
2017,OK,4199.0,3084,1115,2824,1992,832,1375,1092,283,480,369,111,660,348,312,578,295,283,82,53,29,349,235,114
2017,OR,13953.0,5986,7967,10434,4293,6141,3519,1693,1826,1083,540,543,3387,868,2519,3120,768,2352,267,100,167,1251,583,668
2017,PA,14138.0,12340,1798,8271,6529,1742,5867,5811,56,1946,1930,16,1438,828,610,1372,768,604,66,60,6,963,875,88
2017,PR,3525.0,1013,2512,3141,800,2341,384,213,171,118,74,44,1078,142,936,1065,142,923,13,0,13,94,30,64
2017,RI,1180.0,1111,69,802,733,69,378,378,0,106,106,0,240,215,25,240,215,25,0,0,0,95,92,3
2017,SC,3916.0,2415,1501,2896,1667,1229,1020,748,272,325,254,71,824,236,588,792,226,566,32,10,22,480,321,159
2017,SD,943.0,772,171,611,452,159,332,320,12,124,121,3,144,112,32,101,81,20,43,31,12,130,123,7
2017,TN,8309.0,5544,2765,6137,3883,2254,2172,1661,511,655,494,161,1484,571,913,1295,482,813,189,89,100,757,615,142
2017,TX,23548.0,15055,8493,16708,8714,7994,6840,6341,499,2168,1986,182,3711,1481,2230,3497,1319,2178,214,162,52,2200,1379,821
2017,UT,2852.0,2574,278,1882,1604,278,970,970,0,281,281,0,185,141,44,163,119,44,22,22,0,220,203,17
2017,VA,6067.0,5059,1008,4028,3049,979,2039,2010,29,631,620,11,896,531,365,864,501,363,32,30,2,478,384,94
